id,tag
0,"O"
1,"NNP"
2,"MD"
3,"VB"
4,"VBN"
5,"IN"
6,"NNP"
7,"NNP"
8,"IN"
9,"DT"
10,","
11,"CC"
12,"DT"
13,"JJ"
14,"NN"
15,"VBP"
16,"VBN"
17,"IN"
18,"RB"
19,"IN"
20,"NNP"
21,":"
22,"CC"
23,"RBR"
24,"."
25,"IN"
26,"NNP"
27,"NNS"
28,"NNP"
29,","
30,"IN"
31,"NN"
32,","
33,"DT"
34,"NNP"
35,"JJ"
36,"NN"
37,"VBD"
38,"IN"
39,"NNP"
40,"NNP"
41,"``"
42,"NNP"
43,"''"
44,"PRP"
45,"VBD"
46,"DT"
47,"NN"
48,"NN"
49,"TO"
50,"$"
51,"CD"
52,"CD"
53,"IN"
54,"DT"
55,"JJ"
56,"NN"
57,"VBD"
58,"NNP"
59,"CD"
60,"IN"
61,"$"
62,"CD"
63,"CD"
64,"IN"
65,"DT"
66,"CD"
67,"NNS"
68,"VBD"
69,"NNP"
70,"CD"
71,","
72,"CD"
73,"."
74,"DT"
75,"NNS"
76,"VBP"
77,"RB"
78,"VB"
79,"JJ"
80,"NNS"
81,"IN"
82,"NN"
83,"IN"
84,"NNP"
85,"NNS"
86,"NN"
87,"."
88,"NNP"
89,"NNP"
90,"VBD"
91,"VBD"
92,"VBN"
93,"$"
94,"CD"
95,"CD"
96,","
97,"IN"
98,"DT"
99,"NN"
100,"$"
101,"CD"
102,"CD"
103,"IN"
104,"NNS"
105,","
106,"RP"
107,"IN"
108,"$"
109,"CD"
110,"CD"
111,"DT"
112,"NN"
113,"IN"
114,"."
115,"DT"
116,"NN"
117,"VBZ"
118,"VBD"
119,"IN"
120,"DT"
121,"JJ"
122,"NN"
123,"POS"
124,"JJ"
125,"NN"
126,"NNS"
127,"VBN"
128,"IN"
129,"DT"
130,"NNP"
131,"CC"
132,"NNP"
133,"NNP"
134,"."
135,"NNP"
136,"PRP"
137,"VBD"
138,"IN"
139,"DT"
140,"JJ"
141,"NN"
142,","
143,"NNP"
144,"NNS"
145,"POS"
146,"NNP"
147,"NNS"
148,"VBP"
149,"JJ"
150,"NN"
151,"VBD"
152,"IN"
153,"DT"
154,"IN"
155,"JJ"
156,"NNS"
157,"."
158,"DT"
159,"NN"
160,"NN"
161,"VBZ"
162,"CD"
163,"NNS"
164,"RB"
165,"IN"
166,"CD"
167,"IN"
168,"NNP"
169,"NNS"
170,"VBG"
171,"TO"
172,"DT"
173,"JJ"
174,"NN"
175,"NNS"
176,"IN"
177,"NNP"
178,"NN"
179,"IN"
180,"NNP"
181,"."
182,"NNP"
183,","
184,"NNP"
185,"NNP"
186,"POS"
187,"NN"
188,"NN"
189,"CC"
190,"NNP"
191,"NNP"
192,"NNP"
193,"NNP"
194,"NN"
195,"IN"
196,"DT"
197,"NN"
198,"NN"
199,","
200,"WDT"
201,"DT"
202,"NN"
203,"VBZ"
204,"VBN"
205,"RB"
206,"NNP"
207,"NNP"
208,"NNP"
209,"IN"
210,"DT"
211,"NN"
212,"IN"
213,"NNS"
214,"NN"
215,"IN"
216,"DT"
217,"NNS"
218,"."
219,"RB"
220,","
221,"NNP"
222,"NNS"
223,"IN"
224,"NNP"
225,"VBD"
226,"NNP"
227,"NNS"
228,"IN"
229,"PRP$"
230,"JJ"
231,"NN"
232,","
233,"NNP"
234,"NNP"
235,"NNS"
236,","
237,"VBN"
238,"IN"
239,"IN"
240,"DT"
241,"CD"
242,"NN"
243,"NN"
244,"IN"
245,"NNS"
246,"IN"
247,"DT"
248,"NN"
249,"."
